id,sample,species_code_sample,rt,mz,pc_id,tic,date_update,error message
1108,DN1399,LA10_1399_2,18.5371,593.1303,LA10_5,112182.1114,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1109,DN1399,LA10_1399_2,18.0398,593.1289,LA10_76,8577.1956,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1110,DN1399,LA10_1399_2,15.5729,593.1288,LA10_40,13490.4216,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1111,DN1399,LA10_1399_2,11.1916,593.1518,LA10_99,955.6986,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1112,DN1399,LA10_1399_2,15.5729,594.1313,LA10_40,3995.3856,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1113,DN1399,LA10_1399_2,18.5385,594.1341,LA10_5,34334.4861,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1114,DN1399,LA10_1399_2,17.8793,595.1452,LA10_45,13006.0269,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1115,DN1399,LA10_1399_2,18.5386,595.1358,LA10_5,7986.6794,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1116,DN1399,LA10_1399_2,15.5836,595.1412,LA10_40,5256.9083,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1117,DN1399,LA10_1399_2,17.8793,596.1486,LA10_45,3607.1512,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1118,DN1399,LA10_1399_2,12.1931,597.1610,LA10_9,72166.9232,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1119,DN1399,LA10_1399_2,12.5891,597.1599,LA10_35,15608.2812,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1120,DN1399,LA10_1399_2,12.1966,598.1641,LA10_9,21962.6252,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1121,DN1399,LA10_1399_2,12.5858,598.1619,LA10_35,5015.3863,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1122,DN1399,LA10_1399_2,11.3738,599.1387,LA10_67,5197.1206,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1123,DN1399,LA10_1399_2,12.1931,599.1639,LA10_9,4743.9441,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1124,DN1399,LA10_1399_2,11.3702,599.6416,LA10_67,3154.0969,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1125,DN1399,LA10_1399_2,8.4828,601.1185,LA10_3,13301.1053,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1126,DN1399,LA10_1399_2,8.4367,602.1256,LA10_29,16688.8783,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1127,DN1399,LA10_1399_2,8.4367,602.6277,LA10_29,9067.3431,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1128,DN1399,LA10_1399_2,8.4792,603.1344,LA10_3,110717.1149,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1129,DN1399,LA10_1399_2,15.5407,603.1479,LA10_1,3101.7985,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1130,DN1399,LA10_1399_2,8.4792,604.1377,LA10_3,30289.3378,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1131,DN1399,LA10_1399_2,8.4792,605.1395,LA10_3,6508.1004,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1132,DN1399,LA10_1399_2,14.8751,609.1238,LA10_24,26641.1020,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1133,DN1399,LA10_1399_2,15.5514,609.1235,LA10_1,3099.1570,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1134,DN1399,LA10_1399_2,10.8551,609.1442,LA10_102,4392.4386,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
